model,prompt,object,total,fp,hallucination_rate
gpt-4o,baseline,bag,17,4,0.23529411764705882
gpt-4o,baseline,ball,39,0,0.0
gpt-4o,baseline,bicycle,34,0,0.0
gpt-4o,baseline,bird,20,0,0.0
gpt-4o,baseline,blanket,20,3,0.15
gpt-4o,baseline,books,18,3,0.16666666666666666
gpt-4o,baseline,bowl,18,2,0.1111111111111111
gpt-4o,baseline,building,11,7,0.6363636363636364
gpt-4o,baseline,bus,18,0,0.0
gpt-4o,baseline,car,34,1,0.029411764705882353
gpt-4o,baseline,carpet,18,5,0.2777777777777778
gpt-4o,baseline,cat,19,0,0.0
gpt-4o,baseline,chair,37,3,0.08108108108108109
gpt-4o,baseline,collar,19,12,0.631578947368421
gpt-4o,baseline,cup,14,3,0.21428571428571427
gpt-4o,baseline,desk,16,1,0.0625
gpt-4o,baseline,dog,38,1,0.02631578947368421
gpt-4o,baseline,fence,17,2,0.11764705882352941
gpt-4o,baseline,furniture,16,12,0.75
gpt-4o,baseline,grass,33,1,0.030303030303030304
gpt-4o,baseline,lamp,15,6,0.4
gpt-4o,baseline,leash,18,2,0.1111111111111111
gpt-4o,baseline,motorcycle,17,0,0.0
gpt-4o,baseline,mouse,17,3,0.17647058823529413
gpt-4o,baseline,person,42,9,0.21428571428571427
gpt-4o,baseline,plant,17,6,0.35294117647058826
gpt-4o,baseline,road,15,9,0.6
gpt-4o,baseline,shoe,19,5,0.2631578947368421
gpt-4o,baseline,sign,11,7,0.6363636363636364
gpt-4o,baseline,sofa,33,1,0.030303030303030304
gpt-4o,baseline,table,23,7,0.30434782608695654
gpt-4o,baseline,toy,20,3,0.15
gpt-4o,baseline,traffic light,19,3,0.15789473684210525
gpt-4o,baseline,tree,66,9,0.13636363636363635
gpt-4o,baseline,truck,15,1,0.06666666666666667
gpt-4o,baseline,window,13,9,0.6923076923076923
gpt-4o,misleading1,bag,17,2,0.11764705882352941
gpt-4o,misleading1,ball,39,0,0.0
gpt-4o,misleading1,bicycle,34,0,0.0
gpt-4o,misleading1,bird,20,0,0.0
gpt-4o,misleading1,blanket,20,3,0.15
gpt-4o,misleading1,books,18,3,0.16666666666666666
gpt-4o,misleading1,bowl,18,2,0.1111111111111111
gpt-4o,misleading1,building,11,6,0.5454545454545454
gpt-4o,misleading1,bus,18,0,0.0
gpt-4o,misleading1,car,34,0,0.0
gpt-4o,misleading1,carpet,18,5,0.2777777777777778
gpt-4o,misleading1,cat,19,0,0.0
gpt-4o,misleading1,chair,37,2,0.05405405405405406
gpt-4o,misleading1,collar,19,10,0.5263157894736842
gpt-4o,misleading1,cup,14,3,0.21428571428571427
gpt-4o,misleading1,desk,16,2,0.125
