model,prompt,foldername,total,fp,hallucination_rate
gpt-4o,baseline,car,140,34,0.24285714285714285
gpt-4o,baseline,cat,187,28,0.1497326203208556
gpt-4o,baseline,chair,140,37,0.2642857142857143
gpt-4o,baseline,dog,170,24,0.1411764705882353
gpt-4o,baseline,person,179,17,0.09497206703910614
gpt-4o,misleading1,car,140,33,0.2357142857142857
gpt-4o,misleading1,cat,187,28,0.1497326203208556
gpt-4o,misleading1,chair,140,40,0.2857142857142857
gpt-4o,misleading1,dog,170,20,0.11764705882352941
gpt-4o,misleading1,person,179,16,0.0893854748603352
gpt-4o,mitigate1,car,140,30,0.21428571428571427
gpt-4o,mitigate1,cat,187,25,0.13368983957219252
gpt-4o,mitigate1,chair,140,27,0.19285714285714287
gpt-4o,mitigate1,dog,170,15,0.08823529411764706
gpt-4o,mitigate1,person,179,10,0.055865921787709494
gpt-5.1,baseline,car,140,28,0.2
gpt-5.1,baseline,cat,187,26,0.13903743315508021
gpt-5.1,baseline,chair,140,34,0.24285714285714285
gpt-5.1,baseline,dog,170,16,0.09411764705882353
gpt-5.1,baseline,person,179,16,0.0893854748603352
gpt-5.1,misleading1,car,140,33,0.2357142857142857
gpt-5.1,misleading1,cat,187,25,0.13368983957219252
gpt-5.1,misleading1,chair,140,34,0.24285714285714285
gpt-5.1,misleading1,dog,170,19,0.11176470588235295
gpt-5.1,misleading1,person,179,18,0.1005586592178771
gpt-5.1,mitigate1,car,140,31,0.22142857142857142
gpt-5.1,mitigate1,cat,187,22,0.11764705882352941
gpt-5.1,mitigate1,chair,140,27,0.19285714285714287
gpt-5.1,mitigate1,dog,170,15,0.08823529411764706
gpt-5.1,mitigate1,person,179,12,0.0670391061452514
